inst_id,pert_id,split
CPC005_A375_6H_X3_B3_DUO52HI53LO:O06,BRD-K17294426,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:E07,BRD-K43389675,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:E07,BRD-K43389675,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:E07,BRD-K43389675,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:J21,BRD-A04553218,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:J21,BRD-A04553218,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:J21,BRD-A04553218,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:E19,BRD-K08252256,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:E19,BRD-K08252256,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:E19,BRD-K08252256,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:F12,BRD-K93441486,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:F12,BRD-K93441486,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:F12,BRD-K93441486,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:K24,BRD-A47494775,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:K24,BRD-A47494775,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:K24,BRD-A47494775,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:H07,BRD-K70301876,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:H07,BRD-K70301876,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:H07,BRD-K70301876,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:P14,BRD-K63630713,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:P14,BRD-K63630713,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:P14,BRD-K63630713,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:P18,BRD-A16311756,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:P18,BRD-A16311756,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:P18,BRD-A16311756,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:I13,BRD-A30205217,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:I13,BRD-A30205217,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:I13,BRD-A30205217,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:E04,BRD-A97104540,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:E04,BRD-A97104540,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:E04,BRD-A97104540,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:K12,BRD-K77947974,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:K12,BRD-K77947974,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:K12,BRD-K77947974,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:A10,BRD-K11129031,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:A10,BRD-K11129031,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:A10,BRD-K11129031,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:C16,BRD-K57222227,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:C16,BRD-K57222227,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:C16,BRD-K57222227,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:H12,BRD-A40639672,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:H12,BRD-A40639672,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:H12,BRD-A40639672,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:A11,BRD-A33711280,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:A11,BRD-A33711280,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:A11,BRD-A33711280,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:C06,BRD-K65146499,test
CPC005_A375_6H_X2_B3_DUO52HI53LO:C06,BRD-K65146499,test
CPC005_A375_6H_X3_B3_DUO52HI53LO:C06,BRD-K65146499,test
CPC004_A375_6H_X1_B3_DUO52HI53LO:F14,BRD-A02006392,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:F14,BRD-A02006392,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:F14,BRD-A02006392,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:N14,BRD-K78485176,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:N14,BRD-K78485176,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:N14,BRD-K78485176,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:C13,BRD-A43671941,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:C13,BRD-A43671941,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:C13,BRD-A43671941,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:H24,BRD-K37991163,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:H24,BRD-K37991163,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:H24,BRD-K37991163,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:H16,BRD-K10995081,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:H16,BRD-K10995081,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:F23,BRD-A97701745,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:F23,BRD-A97701745,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:F23,BRD-A97701745,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:P21,BRD-K19352500,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:P21,BRD-K19352500,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:P21,BRD-K19352500,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:P23,BRD-K06980535,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:P23,BRD-K06980535,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:P23,BRD-K06980535,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:E01,BRD-A18043272,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:E01,BRD-A18043272,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:E01,BRD-A18043272,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:M20,BRD-K46137903,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:M20,BRD-K46137903,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:M20,BRD-K46137903,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:N02,BRD-K68867920,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:N02,BRD-K68867920,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:N02,BRD-K68867920,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:H05,BRD-K82941592,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:H05,BRD-K82941592,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:H05,BRD-K82941592,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:M03,BRD-K30816563,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:M03,BRD-K30816563,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:M03,BRD-K30816563,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:D02,BRD-K82846253,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:D02,BRD-K82846253,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:D02,BRD-K82846253,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:H13,BRD-K82036761,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:H13,BRD-K82036761,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:H13,BRD-K82036761,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:B16,BRD-K79759585,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:B16,BRD-K79759585,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:B16,BRD-K79759585,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:J24,BRD-K22134346,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:J24,BRD-K22134346,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:J24,BRD-K22134346,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:A09,BRD-A33168282,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:A09,BRD-A33168282,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:A09,BRD-A33168282,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:L09,BRD-K93645900,test
CPC004_A375_6H_X2_B3_DUO52HI53LO:L09,BRD-K93645900,test
CPC004_A375_6H_X3_B3_DUO52HI53LO:L09,BRD-K93645900,test
CPC004_A375_6H_X1_B3_DUO52HI53LO:F18,BRD-A06352418,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:F18,BRD-A06352418,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:F18,BRD-A06352418,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:L15,BRD-K00603606,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:L15,BRD-K00603606,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:L15,BRD-K00603606,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:I04,BRD-K63675182,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:I04,BRD-K63675182,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:I04,BRD-K63675182,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:I05,BRD-A49225603,test
CPC005_A375_6H_X2_B3_DUO52HI53LO:I05,BRD-A49225603,test
CPC005_A375_6H_X3_B3_DUO52HI53LO:I05,BRD-A49225603,test
CPC004_A375_6H_X1_B3_DUO52HI53LO:I02,BRD-A19195498,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:I02,BRD-A19195498,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:I02,BRD-A19195498,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:J06,BRD-A51714012,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:J06,BRD-A51714012,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:J06,BRD-A51714012,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:H09,BRD-K48300629,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:H09,BRD-K48300629,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:H09,BRD-K48300629,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:O23,BRD-K55127134,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:O23,BRD-K55127134,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:O23,BRD-K55127134,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:O13,BRD-K21680192,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:O13,BRD-K21680192,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:O13,BRD-K21680192,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:E15,BRD-A84481105,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:E15,BRD-A84481105,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:E15,BRD-A84481105,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:O21,BRD-K89732114,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:O21,BRD-K89732114,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:O21,BRD-K89732114,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:B04,BRD-K81418486,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:B04,BRD-K81418486,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:B04,BRD-K81418486,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:B04,BRD-K81418486,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:B04,BRD-K81418486,train
CPC005_A375_6H_X3_B3_DUO52HI53LO:B04,BRD-K81418486,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:G10,BRD-A60197193,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:G10,BRD-A60197193,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:G10,BRD-A60197193,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:L23,BRD-A34299591,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:L23,BRD-A34299591,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:L23,BRD-A34299591,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:J21,BRD-K56429665,test
CPC005_A375_24H_X2_B3_DUO52HI53LO:J21,BRD-K56429665,test
CPC005_A375_24H_X3_B3_DUO52HI53LO:J21,BRD-K56429665,test
CPC005_A375_24H_X1_B3_DUO52HI53LO:F24,BRD-A47598013,test
CPC005_A375_24H_X2_B3_DUO52HI53LO:F24,BRD-A47598013,test
CPC005_A375_24H_X3_B3_DUO52HI53LO:F24,BRD-A47598013,test
CPC005_A375_24H_X1_B3_DUO52HI53LO:F12,BRD-K93441486,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:F12,BRD-K93441486,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:F12,BRD-K93441486,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:K24,BRD-A47494775,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:K24,BRD-A47494775,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:K24,BRD-A47494775,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:P14,BRD-K63630713,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:P14,BRD-K63630713,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:P14,BRD-K63630713,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:P18,BRD-A16311756,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:P18,BRD-A16311756,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:P18,BRD-A16311756,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:I13,BRD-A30205217,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:I13,BRD-A30205217,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:I13,BRD-A30205217,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:A10,BRD-K11129031,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:A10,BRD-K11129031,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:A10,BRD-K11129031,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:A16,BRD-K67783091,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:A16,BRD-K67783091,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:A16,BRD-K67783091,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:C16,BRD-K57222227,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:C16,BRD-K57222227,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:C16,BRD-K57222227,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:K08,BRD-A90799790,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:K08,BRD-A90799790,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:K08,BRD-A90799790,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:E10,BRD-K02867583,test
CPC005_A375_24H_X2_B3_DUO52HI53LO:E10,BRD-K02867583,test
CPC005_A375_24H_X3_B3_DUO52HI53LO:E10,BRD-K02867583,test
CPC005_A375_24H_X1_B3_DUO52HI53LO:K13,BRD-A83937277,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:K13,BRD-A83937277,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:K13,BRD-A83937277,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:A11,BRD-A33711280,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:A11,BRD-A33711280,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:A11,BRD-A33711280,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:E20,BRD-A26711594,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:E20,BRD-A26711594,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:E20,BRD-A26711594,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:C22,BRD-K05395900,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:C22,BRD-K05395900,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:C22,BRD-K05395900,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:L24,BRD-K66404838,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:L24,BRD-K66404838,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:L24,BRD-K66404838,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:I11,BRD-A19736161,test
CPC005_A375_24H_X2_B3_DUO52HI53LO:I11,BRD-A19736161,test
CPC005_A375_24H_X3_B3_DUO52HI53LO:I11,BRD-A19736161,test
CPC005_A375_24H_X1_B3_DUO52HI53LO:A23,BRD-A44448661,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:A23,BRD-A44448661,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:A23,BRD-A44448661,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:E01,BRD-A18043272,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:E01,BRD-A18043272,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:E01,BRD-A18043272,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:M20,BRD-A59303141,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:M20,BRD-A59303141,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:M20,BRD-A59303141,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:E07,BRD-A36217750,test
CPC005_A375_24H_X2_B3_DUO52HI53LO:E07,BRD-A36217750,test
CPC005_A375_24H_X3_B3_DUO52HI53LO:E07,BRD-A36217750,test
CPC005_A375_24H_X1_B3_DUO52HI53LO:A09,BRD-A33168282,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:A09,BRD-A33168282,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:A09,BRD-A33168282,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:I05,BRD-A49225603,test
CPC005_A375_24H_X2_B3_DUO52HI53LO:I05,BRD-A49225603,test
CPC005_A375_24H_X3_B3_DUO52HI53LO:I05,BRD-A49225603,test
CPC005_A375_24H_X1_B3_DUO52HI53LO:I07,BRD-K11742128,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:I07,BRD-K11742128,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:I07,BRD-K11742128,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:K01,BRD-A79672927,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:K01,BRD-A79672927,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:K01,BRD-A79672927,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:M01,BRD-A92670106,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:M01,BRD-A92670106,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:M01,BRD-A92670106,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:H09,BRD-K48300629,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:H09,BRD-K48300629,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:H09,BRD-K48300629,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:O07,BRD-K55127134,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:O07,BRD-K55127134,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:O07,BRD-K55127134,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:O23,BRD-K55127134,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:O23,BRD-K55127134,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:O23,BRD-K55127134,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:O13,BRD-K21680192,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:O13,BRD-K21680192,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:O13,BRD-K21680192,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:E15,BRD-A84481105,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:E15,BRD-A84481105,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:E15,BRD-A84481105,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:O15,BRD-K89732114,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:O15,BRD-K89732114,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:O15,BRD-K89732114,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:O21,BRD-K89732114,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:O21,BRD-K89732114,train
CPC005_A375_24H_X3_B3_DUO52HI53LO:O21,BRD-K89732114,train
CPC005_A375_24H_X1_B3_DUO52HI53LO:B04,BRD-K81418486,train
CPC005_A375_24H_X2_B3_DUO52HI53LO:B04,BRD-K81418486,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:L23,BRD-A34299591,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:L23,BRD-A34299591,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:L23,BRD-A34299591,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:J21,BRD-K56429665,test
CPC005_A549_6H_X2_B3_DUO52HI53LO:J21,BRD-K56429665,test
CPC005_A549_6H_X3_B3_DUO52HI53LO:J21,BRD-K56429665,test
CPC005_A549_6H_X1_B3_DUO52HI53LO:F24,BRD-A47598013,test
CPC005_A549_6H_X2_B3_DUO52HI53LO:F24,BRD-A47598013,test
CPC005_A549_6H_X3_B3_DUO52HI53LO:F24,BRD-A47598013,test
CPC005_A549_6H_X1_B3_DUO52HI53LO:O06,BRD-K17294426,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:O06,BRD-K17294426,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:O06,BRD-K17294426,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:F12,BRD-K93441486,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:F12,BRD-K93441486,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:F12,BRD-K93441486,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:P14,BRD-K63630713,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:P14,BRD-K63630713,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:P14,BRD-K63630713,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:P18,BRD-A16311756,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:P18,BRD-A16311756,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:P18,BRD-A16311756,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:I13,BRD-A30205217,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:I13,BRD-A30205217,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:I13,BRD-A30205217,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:C16,BRD-K57222227,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:C16,BRD-K57222227,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:C16,BRD-K57222227,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:D14,BRD-K88789588,test
CPC005_A549_6H_X2_B3_DUO52HI53LO:D14,BRD-K88789588,test
CPC005_A549_6H_X3_B3_DUO52HI53LO:D14,BRD-K88789588,test
CPC005_A549_6H_X1_B3_DUO52HI53LO:E10,BRD-K02867583,test
CPC005_A549_6H_X2_B3_DUO52HI53LO:E10,BRD-K02867583,test
CPC005_A549_6H_X3_B3_DUO52HI53LO:E10,BRD-K02867583,test
CPC005_A549_6H_X1_B3_DUO52HI53LO:L01,BRD-K19507340,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:L01,BRD-K19507340,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:L01,BRD-K19507340,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:A11,BRD-A33711280,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:A11,BRD-A33711280,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:A11,BRD-A33711280,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:O10,BRD-A65280694,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:O10,BRD-A65280694,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:O10,BRD-A65280694,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:L24,BRD-K66404838,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:L24,BRD-K66404838,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:L24,BRD-K66404838,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:I11,BRD-A19736161,test
CPC005_A549_6H_X2_B3_DUO52HI53LO:I11,BRD-A19736161,test
CPC005_A549_6H_X3_B3_DUO52HI53LO:I11,BRD-A19736161,test
CPC005_A549_6H_X1_B3_DUO52HI53LO:A23,BRD-A44448661,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:A23,BRD-A44448661,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:A23,BRD-A44448661,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:E01,BRD-A18043272,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:E01,BRD-A18043272,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:E01,BRD-A18043272,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:D02,BRD-K82846253,train
CPC005_A549_6H_X2_B3_DUO52HI53LO:D02,BRD-K82846253,train
CPC005_A549_6H_X3_B3_DUO52HI53LO:D02,BRD-K82846253,train
CPC005_A549_6H_X1_B3_DUO52HI53LO:E07,BRD-A36217750,test
CPC005_A549_6H_X2_B3_DUO52HI53LO:E07,BRD-A36217750,test
CPC005_A549_6H_X3_B3_DUO52HI53LO:E07,BRD-A36217750,test
